feature,importance
sales_ma_4,0.6318104975657856
inventory_level,0.12228810636505169
price_ratio,0.05163488590118331
sales_lag_1,0.035500482251371944
price_diff,0.023024177251834258
seasonal_factor,0.01808544428740843
day_of_year,0.017999466334649904
weather_impact,0.01594558779734841
price,0.01356432576475076
product_encoded,0.011151137501608663
competitor_price,0.010475891997384273
price_lag_1,0.010124482785679793
revenue_lag_1,0.008566674379694354
price_ma_4,0.00827886515347004
marketing_spend,0.0053986181561481855
price_elasticity,0.004710065925019241
store_encoded,0.0037434362991836797
month,0.0032447085053219993
year,0.0021835449550395474
category_encoded,0.0019467765159111906
is_holiday,0.0003228243061546841
day_of_week,0.0
is_weekend,0.0
